gene_id,expected_log2_fold_change,is_differential
GENE_0304,0.0,False
GENE_0305,0.0,False
GENE_0306,0.0,False
GENE_0307,0.0,False
GENE_0308,0.0,False
GENE_0309,0.0,False
GENE_0310,0.0,False
GENE_0311,0.0,False
GENE_0312,0.0,False
GENE_0313,0.0,False
GENE_0314,0.0,False
GENE_0315,0.0,False
GENE_0316,0.0,False
GENE_0317,0.0,False
GENE_0318,0.0,False
GENE_0319,0.0,False
GENE_0320,0.0,False
GENE_0321,0.0,False
GENE_0322,0.0,False
GENE_0323,0.0,False
GENE_0324,0.0,False
GENE_0325,0.0,False
GENE_0326,0.0,False
GENE_0327,0.0,False
GENE_0328,0.0,False
GENE_0329,0.0,False
GENE_0330,0.0,False
GENE_0331,0.0,False
GENE_0332,0.0,False
GENE_0333,0.0,False
GENE_0334,0.0,False
GENE_0335,0.0,False
GENE_0336,0.0,False
GENE_0337,0.0,False
GENE_0338,0.0,False
GENE_0339,0.0,False
GENE_0340,0.0,False
GENE_0341,0.0,False
GENE_0342,0.0,False
GENE_0343,0.0,False
GENE_0344,0.0,False
GENE_0345,0.0,False
GENE_0346,0.0,False
GENE_0347,0.0,False
GENE_0348,0.0,False
GENE_0349,0.0,False
GENE_0350,0.0,False
GENE_0351,0.0,False
GENE_0352,0.0,False
GENE_0353,0.0,False
GENE_0354,0.0,False
GENE_0355,0.0,False
GENE_0356,0.0,False
GENE_0357,0.0,False
GENE_0358,0.0,False
GENE_0359,0.0,False
GENE_0360,0.0,False
GENE_0361,0.0,False
GENE_0362,0.0,False
GENE_0363,0.0,False
GENE_0364,0.0,False
GENE_0365,0.0,False
GENE_0366,0.0,False
GENE_0367,0.0,False
GENE_0368,0.0,False
GENE_0369,0.0,False
GENE_0370,0.0,False
GENE_0371,0.0,False
GENE_0372,0.0,False
GENE_0373,0.0,False
GENE_0374,0.0,False
GENE_0375,0.0,False
GENE_0376,0.0,False
GENE_0377,0.0,False
GENE_0378,0.0,False
GENE_0379,0.0,False
GENE_0380,0.0,False
GENE_0381,0.0,False
GENE_0382,0.0,False
GENE_0383,0.0,False
GENE_0384,0.0,False
GENE_0385,0.0,False
GENE_0386,0.0,False
GENE_0387,0.0,False
GENE_0388,0.0,False
GENE_0389,0.0,False
GENE_0390,0.0,False
GENE_0391,0.0,False
GENE_0392,0.0,False
GENE_0393,0.0,False
GENE_0394,0.0,False
GENE_0395,0.0,False
GENE_0396,0.0,False
GENE_0397,0.0,False
GENE_0398,0.0,False
GENE_0399,0.0,False
GENE_0400,0.0,False
GENE_0401,0.0,False
GENE_0402,0.0,False
GENE_0403,0.0,False
GENE_0404,0.0,False
GENE_0405,0.0,False
GENE_0406,0.0,False
GENE_0407,0.0,False
GENE_0408,0.0,False
GENE_0409,0.0,False
GENE_0410,0.0,False
GENE_0411,0.0,False
GENE_0412,0.0,False
GENE_0413,0.0,False
GENE_0414,0.0,False
GENE_0415,0.0,False
GENE_0416,0.0,False
GENE_0417,0.0,False
GENE_0418,0.0,False
GENE_0419,0.0,False
GENE_0420,0.0,False
GENE_0421,0.0,False
GENE_0422,0.0,False
GENE_0423,0.0,False
GENE_0424,0.0,False
GENE_0425,0.0,False
GENE_0426,0.0,False
GENE_0427,0.0,False
GENE_0428,0.0,False
GENE_0429,0.0,False
GENE_0430,0.0,False
GENE_0431,0.0,False
GENE_0432,0.0,False
GENE_0433,0.0,False
GENE_0434,0.0,False
GENE_0435,0.0,False
GENE_0436,0.0,False
GENE_0437,0.0,False
GENE_0438,0.0,False
GENE_0439,0.0,False
GENE_0440,0.0,False
GENE_0441,0.0,False
GENE_0442,0.0,False
GENE_0443,0.0,False
GENE_0444,0.0,False
GENE_0445,0.0,False
GENE_0446,0.0,False
GENE_0447,0.0,False
GENE_0448,0.0,False
GENE_0449,0.0,False
GENE_0450,0.0,False
GENE_0451,0.0,False
GENE_0452,0.0,False
GENE_0453,0.0,False
GENE_0454,0.0,False
GENE_0455,0.0,False
GENE_0456,0.0,False
GENE_0457,0.0,False
GENE_0458,0.0,False
GENE_0459,0.0,False
GENE_0460,0.0,False
GENE_0461,0.0,False
GENE_0462,0.0,False
GENE_0463,0.0,False
GENE_0464,0.0,False
GENE_0465,0.0,False
GENE_0466,0.0,False
GENE_0467,0.0,False
GENE_0468,0.0,False
GENE_0469,0.0,False
GENE_0470,0.0,False
GENE_0471,0.0,False
GENE_0472,0.0,False
GENE_0473,0.0,False
GENE_0474,0.0,False
GENE_0475,0.0,False
GENE_0476,0.0,False
GENE_0477,0.0,False
GENE_0478,0.0,False
GENE_0479,0.0,False
GENE_0480,0.0,False
GENE_0481,0.0,False
GENE_0482,0.0,False
GENE_0483,0.0,False
GENE_0484,0.0,False
GENE_0485,0.0,False
GENE_0486,0.0,False
GENE_0487,0.0,False
GENE_0488,0.0,False
GENE_0489,0.0,False
GENE_0490,0.0,False
GENE_0491,0.0,False
GENE_0492,0.0,False
GENE_0493,0.0,False
GENE_0494,0.0,False
GENE_0495,0.0,False
GENE_0496,0.0,False
GENE_0497,0.0,False
GENE_0498,0.0,False
GENE_0499,0.0,False
GENE_0500,0.0,False
