gene_id,control_1,control_2,control_3,treated_1,treated_2,treated_3
GENE_0139,279,327,388,345,459,570
GENE_0140,7,4,5,5,5,2
GENE_0141,52,51,63,60,56,53
GENE_0142,57,40,85,79,54,39
GENE_0143,1664,777,1474,774,832,1144
GENE_0144,112,105,119,87,69,94
GENE_0145,39,31,67,52,77,39
GENE_0146,28,13,22,13,14,25
GENE_0147,22,33,29,31,42,35
GENE_0148,76,37,96,72,81,69
GENE_0149,43,63,31,31,51,35
GENE_0150,5,2,6,4,8,8
GENE_0151,610,355,479,589,402,564
GENE_0152,907,1023,622,664,1054,1070
GENE_0153,14,9,9,5,13,10
GENE_0154,95,137,91,56,92,63
GENE_0155,9,4,5,7,5,8
GENE_0156,337,170,289,117,301,297
GENE_0157,28,22,20,19,15,14
GENE_0158,143,133,171,141,191,292
GENE_0159,204,185,208,259,217,223
GENE_0160,317,308,369,289,322,375
GENE_0161,11,4,11,7,4,3
GENE_0162,1226,774,1006,745,1423,1593
GENE_0163,18,16,17,14,8,6
GENE_0164,2,1,2,5,3,7
GENE_0165,140,82,71,111,92,71
GENE_0166,30,40,17,25,55,32
GENE_0167,619,510,639,619,575,766
GENE_0168,708,565,575,344,561,438
GENE_0169,28,32,32,12,11,23
GENE_0170,1785,1422,1747,1030,1214,1063
GENE_0171,19,26,19,12,22,18
GENE_0172,65,51,101,61,117,129
GENE_0173,18,24,15,15,14,24
GENE_0174,1742,1034,960,703,1238,698
GENE_0175,2,8,12,8,17,15
GENE_0176,8,4,4,3,2,3
GENE_0177,41,40,55,42,71,56
GENE_0178,1682,1250,1854,2055,1478,2375
GENE_0179,1221,753,684,653,881,879
GENE_0180,426,310,265,269,307,280
GENE_0181,599,631,1042,569,824,910
GENE_0182,423,748,920,726,838,819
GENE_0183,87,77,110,74,85,65
GENE_0184,26,19,8,16,23,23
GENE_0185,390,294,411,384,313,375
GENE_0186,200,226,143,139,179,142
GENE_0187,39,24,35,13,22,39
GENE_0188,7,6,3,8,7,3
GENE_0189,478,263,287,279,250,303
GENE_0190,27,15,15,7,25,13
GENE_0191,1698,795,1030,711,1021,1233
GENE_0192,12,18,8,13,12,26
GENE_0193,4,5,4,4,6,9
GENE_0194,585,525,525,659,616,439
GENE_0195,14,6,6,3,8,10
GENE_0196,14,6,11,10,9,6
GENE_0197,81,117,123,145,114,120
GENE_0198,797,548,1106,1000,683,663
GENE_0199,11,10,12,6,5,6
GENE_0200,13,20,41,17,9,31
GENE_0201,509,401,577,278,371,473
GENE_0202,1789,1472,1832,1177,1403,1653
GENE_0203,85,91,72,72,85,59
GENE_0204,3,10,15,4,7,7
GENE_0205,3,5,7,6,6,1
GENE_0206,24,19,16,7,20,16
GENE_0207,6,14,5,8,9,5
GENE_0208,219,383,195,220,242,255
GENE_0209,4,7,7,17,4,2
GENE_0210,89,75,85,49,92,78
GENE_0211,134,235,222,217,255,259
GENE_0212,97,90,124,127,68,115
GENE_0213,12,13,17,8,4,11
GENE_0214,745,524,321,497,457,635
GENE_0215,371,285,259,245,249,256
GENE_0216,417,247,350,216,427,371
GENE_0217,7,7,5,5,11,12
GENE_0218,10,12,6,4,6,9
GENE_0219,1176,897,733,689,1271,1190
GENE_0220,52,30,33,28,72,37
GENE_0221,22,16,23,31,24,35
GENE_0222,51,60,92,48,79,69
GENE_0223,230,155,241,193,212,221
GENE_0224,1496,796,1085,982,1293,1205
GENE_0225,24,28,17,17,14,25
GENE_0226,1407,1467,985,724,760,1113
GENE_0227,7,1,6,6,2,6
GENE_0228,84,83,85,64,87,153
GENE_0229,132,158,201,166,167,164
GENE_0230,6,5,7,4,5,15
GENE_0231,9,5,14,3,6,8
GENE_0232,74,48,27,37,57,47
GENE_0233,1349,1213,1652,1170,1172,1308
GENE_0234,156,95,129,142,98,101
GENE_0235,992,952,1292,946,1039,1131
GENE_0236,346,494,415,431,438,445
GENE_0237,59,48,34,43,64,64
GENE_0238,469,336,536,408,326,692
GENE_0239,3,3,5,2,3,3
GENE_0240,11,6,6,8,5,7
GENE_0241,704,505,944,449,553,534
GENE_0242,514,352,351,371,387,409
GENE_0243,11,18,31,6,18,18
GENE_0244,122,72,78,74,50,90
GENE_0245,150,95,105,105,114,114
GENE_0246,1164,483,632,871,940,593
GENE_0247,164,195,122,72,152,146
GENE_0248,58,38,33,35,37,64
GENE_0249,45,35,28,26,27,34
GENE_0250,68,65,37,49,21,39
GENE_0251,171,120,293,106,175,166
GENE_0252,839,605,744,605,833,368
GENE_0253,37,67,36,57,54,62
GENE_0254,16,13,18,14,11,18
GENE_0255,22,8,14,13,19,11
GENE_0256,403,287,286,253,311,378
GENE_0257,823,603,638,519,343,335
GENE_0258,8,7,2,7,4,5
GENE_0259,4,8,4,3,3,12
GENE_0260,168,163,118,116,129,127
GENE_0261,11,5,12,4,7,8
GENE_0262,745,649,615,476,534,545
GENE_0263,25,18,36,11,22,29
GENE_0264,9,6,8,12,10,9
GENE_0265,1466,1122,1320,975,803,1141
GENE_0266,12,9,9,7,9,4
GENE_0267,14,9,20,8,12,8
GENE_0268,6,7,11,3,18,3
GENE_0269,8,3,6,4,11,1
GENE_0270,1,5,0,4,5,1
GENE_0271,7,6,7,3,12,8
GENE_0272,15,10,11,11,9,8
GENE_0273,8,2,3,2,4,4
GENE_0274,96,162,116,173,157,170
GENE_0275,236,278,198,180,346,182
GENE_0276,41,36,47,44,43,38
GENE_0277,30,15,36,17,26,26
GENE_0278,80,70,67,73,51,63
GENE_0279,843,605,778,905,925,581
GENE_0280,647,997,744,609,457,595
GENE_0281,2,3,3,3,3,4
GENE_0282,6,9,6,2,10,7
GENE_0283,20,27,14,10,12,21
GENE_0284,18,14,21,9,17,14
GENE_0285,98,114,98,155,93,99
GENE_0286,34,43,36,41,29,42
GENE_0287,5,1,3,2,3,7
GENE_0288,34,23,41,30,25,32
GENE_0289,40,137,63,63,70,114
GENE_0290,5,5,2,1,9,5
GENE_0291,715,701,525,353,541,316
GENE_0292,3,3,3,0,5,6
GENE_0293,797,841,1099,813,1033,870
GENE_0294,9,6,9,6,2,5
GENE_0295,867,741,828,626,699,812
GENE_0296,859,555,860,547,802,604
GENE_0297,1545,1453,2022,1348,2132,1225
GENE_0298,272,502,388,473,371,475
GENE_0299,338,333,469,347,300,483
GENE_0300,174,160,170,156,134,166
GENE_0301,473,373,375,367,378,489
GENE_0302,8,6,8,2,9,8
GENE_0303,70,107,83,55,83,58
GENE_0304,88,69,106,75,57,95
GENE_0305,662,647,523,493,730,680
GENE_0306,73,36,49,43,42,46
GENE_0307,31,31,27,22,35,35
GENE_0308,178,145,150,141,161,182
GENE_0309,23,13,11,15,18,9
GENE_0310,11,9,14,7,12,10
GENE_0311,64,81,63,60,62,35
GENE_0312,46,20,28,20,55,29
GENE_0313,17,12,14,9,15,7
GENE_0314,21,30,53,37,32,22
GENE_0315,27,36,20,24,32,36
GENE_0316,30,26,24,20,22,23
GENE_0317,44,13,48,28,15,40
GENE_0318,182,259,122,198,175,240
GENE_0319,27,28,19,9,19,22
GENE_0320,1423,1009,1420,1217,1456,916
GENE_0321,1026,816,1330,581,920,653
GENE_0322,60,52,68,78,89,80
GENE_0323,22,41,29,20,30,14
GENE_0324,93,83,112,89,74,114
GENE_0325,661,424,425,451,489,603
GENE_0326,201,116,205,128,160,189
GENE_0327,435,460,465,425,622,327
GENE_0328,96,79,131,87,157,91
GENE_0329,129,112,84,74,216,165
GENE_0330,19,27,33,28,9,18
GENE_0331,271,233,248,245,387,278
GENE_0332,9,6,23,11,31,12
GENE_0333,232,246,189,205,259,183
GENE_0334,396,465,577,686,683,445
GENE_0335,7,6,5,11,9,9
GENE_0336,172,144,163,84,127,161
GENE_0337,3,9,8,6,7,7
GENE_0338,473,288,158,341,270,234
GENE_0339,6,1,9,5,5,8
GENE_0340,1320,868,694,1204,870,1399
GENE_0341,5,9,6,10,10,10
GENE_0342,1181,1540,1344,1707,969,1159
GENE_0343,549,629,533,284,741,381
GENE_0344,199,107,65,112,94,107
GENE_0345,619,409,357,376,316,297
GENE_0346,450,408,534,364,472,402
GENE_0347,1350,1083,748,1003,1309,1215
GENE_0348,7,11,22,21,14,12
GENE_0349,130,130,105,102,116,116
GENE_0350,5,4,4,5,5,9
GENE_0351,226,107,171,99,197,126
GENE_0352,13,8,12,9,7,11
GENE_0353,115,67,53,66,95,139
GENE_0354,168,130,117,122,125,93
GENE_0355,98,50,59,50,60,52
GENE_0356,62,95,111,79,54,89
GENE_0357,423,349,265,280,327,409
GENE_0358,570,328,477,660,561,465
GENE_0359,72,37,73,76,53,95
GENE_0360,172,91,149,141,87,167
GENE_0361,1418,949,942,1066,1033,983
GENE_0362,6,10,9,4,0,9
GENE_0363,7,10,8,5,5,1
GENE_0364,10,6,9,3,10,6
GENE_0365,208,155,178,189,209,163
GENE_0366,37,47,50,41,35,65
GENE_0367,354,432,507,297,328,433
GENE_0368,198,195,126,194,187,235
GENE_0369,27,21,27,18,16,26
GENE_0370,833,672,764,359,808,705
GENE_0371,452,302,473,471,511,278
GENE_0372,17,13,26,10,22,19
GENE_0373,19,26,54,20,44,24
GENE_0374,16,26,20,19,19,35
GENE_0375,16,7,4,5,5,12
GENE_0376,10,7,7,6,6,11
GENE_0377,1139,1139,772,1220,816,1366
GENE_0378,45,53,47,29,58,45
GENE_0379,32,24,23,48,36,32
GENE_0380,198,372,311,215,325,407
GENE_0381,120,99,84,68,76,114
GENE_0382,1262,978,1583,1059,668,886
GENE_0383,645,429,547,304,404,303
GENE_0384,97,91,45,52,87,69
GENE_0385,66,25,39,47,29,26
GENE_0386,1008,1855,1734,1601,1310,1965
GENE_0387,259,281,241,220,289,323
GENE_0388,1510,1166,1484,1170,1645,1054
GENE_0389,8,7,3,11,9,6
GENE_0390,622,842,445,699,776,434
GENE_0391,134,146,228,202,133,182
GENE_0392,13,6,9,6,11,1
GENE_0393,217,167,126,140,150,138
GENE_0394,241,174,280,251,217,164
GENE_0395,9,3,1,4,3,2
GENE_0396,47,53,54,63,50,50
GENE_0397,437,445,559,420,371,447
GENE_0398,12,17,26,17,13,21
GENE_0399,61,71,57,52,52,45
GENE_0400,35,66,46,49,64,41
GENE_0401,14,30,17,30,22,23
GENE_0402,866,851,708,1157,772,1096
GENE_0403,629,350,443,373,405,412
GENE_0404,11,6,6,6,9,2
GENE_0405,1990,1600,1998,1247,1936,1230
GENE_0406,655,1019,754,806,822,929
GENE_0407,25,16,31,20,27,10
GENE_0408,636,626,754,333,482,684
GENE_0409,8,5,3,4,4,6
GENE_0410,1592,1351,1749,1426,1321,1511
GENE_0411,182,201,274,127,270,174
GENE_0412,251,112,188,209,139,220
GENE_0413,5,4,7,5,10,11
GENE_0414,1255,649,751,656,675,616
GENE_0415,6,0,1,7,4,1
GENE_0416,19,23,21,9,15,15
GENE_0417,9,12,7,12,8,3
GENE_0418,421,540,649,603,410,330
GENE_0419,18,15,9,4,18,9
GENE_0420,911,579,810,751,873,913
GENE_0421,156,166,341,175,107,156
GENE_0422,4,3,4,3,3,4
GENE_0423,2,2,4,4,4,7
GENE_0424,3,4,4,3,7,5
GENE_0425,105,106,127,181,184,139
GENE_0426,598,326,434,434,582,415
GENE_0427,16,22,18,10,10,9
GENE_0428,622,611,619,560,705,838
GENE_0429,6,5,2,6,5,5
GENE_0430,452,360,380,520,483,347
GENE_0431,932,944,1467,788,1201,1321
GENE_0432,426,319,446,382,296,336
GENE_0433,249,284,216,271,219,153
GENE_0434,742,527,624,580,490,493
GENE_0435,4,3,2,4,5,3
GENE_0436,12,11,10,8,10,17
GENE_0437,1,5,7,5,8,6
GENE_0438,72,57,89,61,54,112
GENE_0439,401,288,312,344,447,269
GENE_0440,175,141,165,153,200,184
GENE_0441,1172,573,707,574,818,489
GENE_0442,9,6,11,11,6,3
GENE_0443,289,275,242,167,311,183
GENE_0444,11,16,13,7,8,16
GENE_0445,17,20,16,15,30,14
GENE_0446,542,274,282,341,234,271
GENE_0447,2164,1052,1299,1516,1388,1651
GENE_0448,124,194,152,204,145,122
GENE_0449,2,6,3,5,1,7
GENE_0450,190,134,135,165,104,153
GENE_0451,4,3,3,0,4,3
GENE_0452,689,882,902,638,669,865
GENE_0453,283,308,375,253,332,308
GENE_0454,12,6,12,10,9,10
GENE_0455,7,3,7,6,7,6
GENE_0456,13,8,10,16,7,14
GENE_0457,1243,937,1781,1550,885,1154
GENE_0458,56,56,44,62,73,56
GENE_0459,387,504,433,421,381,386
GENE_0460,203,152,135,152,161,207
GENE_0461,151,93,128,128,143,112
GENE_0462,9,13,6,5,6,14
GENE_0463,1270,1182,1368,987,1231,889
GENE_0464,26,23,13,23,20,32
GENE_0465,129,106,155,112,118,166
GENE_0466,256,424,242,180,189,138
GENE_0467,193,168,190,163,154,170
GENE_0468,1602,1167,1549,1378,840,1304
GENE_0469,9,9,10,9,6,8
GENE_0470,132,79,84,91,53,69
GENE_0471,78,37,57,37,39,57
GENE_0472,42,52,33,68,51,54
GENE_0473,12,10,6,5,6,6
GENE_0474,2,5,9,9,6,5
GENE_0475,23,22,8,13,17,17
GENE_0476,29,24,15,18,21,13
GENE_0477,50,31,47,58,52,36
GENE_0478,158,138,128,157,96,153
GENE_0479,152,175,123,150,161,194
GENE_0480,50,55,22,47,52,39
GENE_0481,28,26,45,24,51,45
GENE_0482,15,6,10,8,12,6
GENE_0483,135,137,135,114,124,198
GENE_0484,24,22,33,33,30,22
GENE_0485,6,5,8,3,4,4
GENE_0486,44,43,31,40,47,54
GENE_0487,45,54,68,76,69,79
GENE_0488,8,15,5,16,12,9
GENE_0489,140,136,111,111,115,131
GENE_0490,180,164,128,92,141,131
GENE_0491,361,287,175,264,230,257
GENE_0492,119,151,177,140,257,172
GENE_0493,263,196,161,176,167,234
GENE_0494,22,23,35,23,22,41
GENE_0495,506,475,507,367,582,550
GENE_0496,130,104,96,101,75,92
GENE_0497,48,41,50,45,66,41
GENE_0498,238,165,163,232,183,182
GENE_0499,29,41,35,27,36,30
GENE_0500,83,94,93,73,97,37
